GP,MIN,PTS,FGM,FGA,FG%,3PMade,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,TARGET_5Yrs
40,6.7,3.6,1.2,3.0,39.8,0.1,0.6,13.6,1.1,1.5,77.6,0.5,0.8,1.2,0.4,0.3,0.1,0.6,1
27,6.6,1.3,0.6,1.3,47.2,0.0,0.0,0.0,0.1,0.3,28.6,0.6,1.4,2.0,0.2,0.2,0.6,0.3,1
44,6.4,2.4,1.0,1.9,53.7,0.0,0.0,0.0,0.4,0.7,50.0,0.4,1.0,1.4,0.2,0.2,0.4,0.6,1
49,5.3,2.1,0.7,1.9,37.6,0.0,0.0,0.0,0.7,1.1,64.2,0.5,0.7,1.2,0.2,0.3,0.2,0.5,0
82,37.2,19.2,7.5,15.3,49.0,0.1,0.3,22.7,4.1,5.0,82.9,3.9,7.0,11.0,3.6,1.0,0.6,1.9,1
76,30.3,10.6,4.4,11.7,37.5,0.1,0.4,13.3,1.8,2.4,73.0,1.1,1.8,2.9,2.2,2.0,0.2,2.0,1
52,24.6,9.3,3.1,6.8,45.1,1.1,2.6,43.4,2.1,2.5,83.6,0.5,1.4,1.9,3.7,0.6,0.0,1.8,0
78,22.0,10.1,3.9,8.7,44.7,0.7,1.8,39.0,1.6,2.2,74.1,0.9,2.0,3.0,2.2,1.2,0.3,1.2,0
82,19.6,7.4,3.1,7.3,41.9,0.0,0.3,4.3,1.2,1.5,80.6,0.6,1.4,2.0,3.9,1.0,0.3,1.7,1
48,18.9,9.1,3.6,6.8,52.8,0.0,0.0,0.0,2.0,3.0,66.9,2.4,3.3,5.7,0.7,0.8,1.1,1.8,1
42,18.6,8.5,3.1,7.7,40.0,0.7,2.0,35.7,1.5,1.9,83.3,0.7,1.2,2.0,1.1,0.8,0.1,1.1,1
82,18.4,5.5,2.0,5.3,37.0,0.1,0.7,14.5,1.4,1.9,74.1,0.4,1.3,1.7,3.8,0.7,0.1,1.2,1
77,15.1,5.6,2.3,4.9,46.7,0.0,0.2,21.4,1.1,1.3,81.0,1.4,2.5,3.8,0.4,0.3,0.6,0.9,1
51,13.2,3.9,1.6,4.1,40.2,0.2,0.6,36.7,0.4,0.5,76.9,0.6,1.5,2.1,0.8,0.3,0.2,0.7,0
55,13.1,3.4,1.2,3.9,30.4,0.4,1.9,20.4,0.6,0.9,74.5,0.4,0.8,1.2,0.5,0.7,0.1,0.7,0
82,23.7,8.7,3.5,7.5,46.4,0.1,0.4,20.6,1.7,1.9,87.3,0.5,1.7,2.2,4.2,1.0,0.2,1.7,0
82,23.7,8.7,3.5,7.5,46.4,0.1,0.4,20.6,1.7,1.9,87.3,0.5,1.7,2.2,4.2,1.0,0.2,1.7,1
49,9.2,1.9,0.7,2.0,32.7,0.1,0.6,21.4,0.5,0.8,64.9,0.2,0.7,0.8,1.7,0.5,0.1,0.6,0
70,16.9,7.2,3.0,7.2,41.9,0.1,0.3,25.0,1.1,1.3,79.6,0.5,1.1,1.7,1.3,0.3,0.1,1.0,0
76,15.4,6.7,2.8,6.8,42.1,0.2,0.8,29.8,0.8,1.2,63.0,1.5,1.4,2.9,0.8,0.6,0.3,0.9,0
63,11.6,8.2,3.2,6.7,48.7,0.0,0.1,16.7,1.7,2.6,66.3,1.2,1.2,2.4,0.6,0.3,0.1,1.1,1
52,9.8,3.5,1.4,3.1,44.7,0.0,0.0,50.0,0.7,1.1,66.1,0.8,1.3,2.1,0.3,0.2,0.1,0.8,1
52,7.3,2.8,1.1,2.4,45.5,0.0,0.0,0.0,0.6,0.9,65.3,0.8,1.1,1.8,0.2,0.2,0.7,0.3,1
51,6.6,2.5,1.0,2.0,51.0,0.0,0.0,50.0,0.4,0.5,71.4,0.8,1.1,1.9,0.3,0.2,0.3,0.5,1
79,33.7,14.7,5.9,12.5,47.1,0.3,1.1,27.4,2.7,3.5,76.4,0.7,3.2,3.9,8.7,2.1,0.1,3.3,0
81,30.5,14.3,5.7,11.6,49.4,0.1,0.4,16.1,2.8,4.0,68.7,0.9,1.7,2.5,7.6,1.8,0.1,3.0,1
82,21.7,8.9,3.3,6.5,50.4,0.0,0.0,0.0,2.4,3.3,72.7,2.1,2.6,4.7,1.1,0.5,0.7,1.4,1
82,19.1,9.1,3.6,9.2,39.7,0.1,0.5,27.3,1.7,3.1,55.0,1.3,2.4,3.8,0.9,0.7,0.7,1.6,1
63,14.0,4.7,1.9,4.2,46.6,0.0,0.0,0.0,0.9,1.4,62.1,1.5,2.2,3.6,0.4,0.4,0.4,1.1,1
43,13.0,4.6,2.0,5.0,40.6,0.1,0.5,14.3,0.4,0.6,68.0,0.2,1.0,1.2,1.9,0.3,0.1,0.8,0
67,10.1,3.1,1.2,3.2,38.4,0.0,0.2,18.8,0.6,0.9,66.1,0.2,0.6,0.9,2.5,0.5,0.0,1.1,1
50,9.8,5.2,1.9,4.1,47.3,0.1,0.3,35.7,1.2,1.8,67.0,0.6,0.9,1.5,0.9,0.6,0.0,0.8,0
65,9.5,5.0,2.1,4.4,47.6,0.0,0.4,7.1,0.8,1.0,82.8,0.6,0.9,1.5,1.2,0.1,0.0,0.8,0
44,9.4,2.7,1.0,3.3,31.3,0.3,0.9,32.5,0.3,0.4,78.9,0.3,0.7,1.0,1.0,0.4,0.1,0.8,1
48,5.7,1.1,0.4,1.8,23.8,0.0,0.1,16.7,0.3,0.4,76.5,0.2,0.4,0.6,1.3,0.3,0.0,0.5,0
81,33.8,18.6,7.9,15.9,49.8,0.0,0.3,19.0,2.8,3.6,77.5,1.9,3.3,5.1,4.6,1.9,0.8,3.2,1
76,27.6,14.1,5.4,11.9,45.7,0.8,2.3,36.6,2.4,3.3,71.7,2.5,2.8,5.2,1.6,1.3,0.8,2.5,1
82,26.7,8.8,3.1,8.3,37.6,1.2,3.6,32.0,1.4,1.7,80.4,0.6,2.2,2.9,1.0,0.6,0.2,1.2,0
55,22.2,8.0,3.0,7.2,42.0,0.0,0.1,25.0,1.9,2.8,67.3,2.1,3.1,5.2,2.1,0.7,0.5,1.9,0
65,18.5,7.4,2.9,5.8,50.1,0.0,0.1,0.0,1.5,2.7,57.1,1.8,2.7,4.5,1.0,1.0,0.3,1.2,0
80,18.2,11.5,4.0,9.2,43.4,0.1,0.5,22.5,3.4,4.3,78.6,1.3,1.0,2.3,1.5,0.5,0.1,1.6,1
71,16.8,5.6,2.5,5.5,46.4,0.0,0.0,0.0,0.5,0.8,59.6,1.1,1.2,2.3,1.1,0.5,0.4,0.4,1
82,16.7,5.2,1.9,4.5,42.0,0.7,1.9,35.9,0.7,0.8,88.4,0.2,0.9,1.1,3.7,0.8,0.0,0.8,1
62,9.9,4.1,1.7,3.2,53.7,0.0,0.1,25.0,0.6,1.0,61.5,1.0,1.1,2.1,0.3,0.3,0.5,0.6,1
47,9.4,2.9,1.0,2.6,40.2,0.0,0.1,16.7,0.7,0.9,83.3,0.3,0.6,0.9,2.3,0.5,0.2,1.3,0
37,8.3,3.5,1.4,2.8,49.0,0.0,0.0,0.0,0.8,1.2,67.4,0.5,0.7,1.3,0.5,0.5,0.2,0.5,0
57,10.0,3.3,1.0,2.6,36.9,0.1,0.2,30.8,1.3,2.0,63.8,1.0,1.2,2.2,0.8,0.7,0.4,1.2,0
77,22.6,6.0,2.2,4.8,46.0,0.9,2.2,40.1,0.7,0.9,71.2,0.9,2.3,3.2,0.9,0.7,0.2,0.8,0
72,7.3,2.5,0.8,2.0,41.5,0.0,0.1,0.0,0.8,1.1,73.8,0.7,0.6,1.3,0.6,0.3,0.0,0.5,0
35,6.0,1.9,0.7,2.1,31.9,0.1,0.3,20.0,0.5,0.6,77.3,0.3,0.3,0.7,1.1,0.3,0.1,0.8,0
41,5.6,2.4,0.9,2.0,42.2,0.0,0.0,0.0,0.7,1.1,68.2,0.5,0.5,1.0,0.2,0.2,0.1,0.3,1
35,24.5,10.4,4.3,12.2,35.6,0.4,1.7,22.4,1.4,1.9,72.7,1.6,1.8,3.4,1.7,0.8,0.6,1.8,1
61,22.4,9.6,3.6,9.0,40.4,0.2,0.7,26.7,2.1,2.9,74.0,1.0,1.3,2.3,1.9,0.9,0.4,1.9,1
66,21.7,8.6,3.7,7.6,48.2,0.0,0.2,0.0,1.3,2.6,51.2,1.5,2.5,4.0,1.2,0.7,0.5,1.6,1
24,17.5,5.2,1.8,4.6,39.1,0.4,1.1,38.5,1.2,1.7,72.5,0.1,1.0,1.1,2.9,1.0,0.1,1.0,0
39,16.5,5.7,2.2,4.7,45.9,0.0,0.0,0.0,1.4,1.6,87.1,1.5,3.0,4.5,0.8,0.3,0.1,0.9,1
58,13.1,2.7,1.1,2.9,37.4,0.1,0.4,24.0,0.4,0.6,71.9,0.3,0.7,1.0,3.1,0.3,0.1,1.0,0
55,9.3,3.1,1.2,2.5,47.4,0.0,0.0,0.0,0.7,1.3,56.3,1.3,1.3,2.6,0.4,0.2,0.3,0.6,1
68,25.3,10.4,4.2,8.5,49.1,0.0,0.1,0.0,2.1,2.7,75.7,1.7,3.2,5.0,1.1,0.7,0.7,1.1,1
78,22.7,9.2,3.6,8.0,45.4,0.1,0.5,22.2,1.8,2.9,64.6,1.7,3.0,4.7,2.4,1.6,0.4,1.6,1
80,21.9,8.5,3.5,7.6,45.5,0.0,0.1,20.0,1.6,2.2,72.8,1.9,2.7,4.7,1.3,0.6,0.8,1.1,1
77,20.9,8.8,3.4,7.8,43.0,0.2,0.7,25.0,1.9,2.6,74.1,0.9,1.1,2.0,2.0,1.2,0.3,1.7,1
75,18.7,7.5,3.1,6.7,46.7,0.0,0.0,33.3,1.3,1.9,67.6,2.4,4.7,7.1,0.7,0.8,1.1,1.4,1
77,15.0,6.5,2.8,5.1,54.5,0.0,0.0,0.0,1.0,1.6,58.7,2.1,2.2,4.3,0.7,0.5,0.6,1.2,1
66,14.2,4.4,1.5,3.1,47.1,0.0,0.0,0.0,1.4,2.1,69.3,1.1,1.9,2.9,0.8,0.6,0.2,0.7,1
67,9.5,4.9,2.1,4.9,42.6,0.3,0.9,28.3,0.4,0.6,78.9,0.4,0.7,1.2,0.9,0.4,0.1,0.7,1
60,8.7,3.8,1.6,3.4,46.8,0.0,0.0,0.0,0.7,1.0,69.0,0.6,0.8,1.5,0.7,0.3,0.3,0.6,1
81,28.1,14.7,6.4,12.4,51.5,0.0,0.0,0.0,2.0,2.9,68.4,2.4,4.9,7.2,1.0,0.4,0.5,2.3,1
82,17.3,6.0,2.1,4.9,42.6,0.0,0.0,0.0,1.8,2.4,73.0,1.4,2.9,4.3,1.1,0.5,0.5,1.1,0
80,14.8,5.2,2.0,4.3,46.5,0.0,0.0,0.0,1.2,1.6,72.3,1.4,3.3,4.7,0.6,0.3,0.4,1.3,1
53,10.8,2.8,1.3,2.1,60.4,0.0,0.0,0.0,0.3,0.8,42.5,0.9,1.9,2.8,0.3,0.4,0.4,0.4,0
66,10.5,5.0,2.2,4.5,48.0,0.0,0.1,0.0,0.7,0.8,85.2,0.6,0.9,1.5,0.8,0.3,0.1,0.9,0
57,8.5,4.5,1.8,4.1,44.2,0.0,0.1,20.0,0.9,0.9,92.6,0.4,0.6,1.0,0.9,0.4,0.1,0.6,1
57,7.6,3.2,1.0,2.8,36.4,0.0,0.1,25.0,1.1,1.2,92.9,0.2,0.6,0.8,1.2,0.3,0.1,0.9,1
76,29.2,10.0,3.9,7.3,53.7,0.0,0.0,0.0,2.1,3.0,71.1,2.7,5.9,8.6,2.8,0.7,2.7,2.3,1
80,25.8,8.8,3.5,7.8,44.6,0.1,0.3,20.0,1.8,2.1,82.9,0.4,1.7,2.1,4.4,1.3,0.1,2.1,1
78,20.1,8.4,3.0,5.8,52.0,0.0,0.1,0.0,2.3,3.6,64.8,1.8,3.3,5.1,1.6,0.6,0.8,1.8,0
75,18.7,6.8,2.8,5.9,47.0,0.0,0.0,0.0,1.2,2.6,47.4,1.4,3.0,4.4,0.5,0.5,0.5,1.9,1
74,17.0,4.4,1.8,3.9,46.0,0.0,0.2,18.8,0.7,1.0,71.1,0.5,1.3,1.8,2.9,1.0,0.2,1.3,0
54,17.0,5.5,2.1,4.3,49.8,0.0,0.0,0.0,1.2,2.3,54.1,1.6,3.3,4.9,0.3,0.4,0.3,1.2,1
51,10.5,3.8,1.6,3.7,44.0,0.0,0.0,0.0,0.5,0.7,75.0,0.8,0.8,1.6,0.7,0.2,0.2,0.6,0
38,4.7,1.8,0.7,1.8,38.8,0.0,0.1,0.0,0.4,0.4,88.2,0.2,0.3,0.6,0.7,0.1,0.0,0.5,1
81,24.8,8.5,3.7,7.3,51.2,0.0,0.0,0.0,1.1,1.4,75.2,1.4,4.3,5.7,1.6,0.5,1.5,1.3,1
80,23.2,5.5,2.3,4.6,49.6,0.0,0.0,0.0,0.9,1.5,59.0,2.2,4.1,6.2,0.9,0.4,1.8,1.4,1
82,21.1,9.0,3.8,8.1,46.7,0.1,0.5,23.1,1.4,1.8,77.2,1.5,2.3,3.8,1.5,0.8,0.5,0.9,0
73,17.6,6.9,3.0,6.7,44.5,0.1,0.5,24.3,0.9,1.0,88.9,0.3,0.9,1.2,3.3,0.4,0.0,1.1,1
82,16.1,7.9,2.6,6.3,41.7,0.0,0.2,26.7,2.5,3.2,79.1,0.9,1.1,2.0,3.5,1.6,0.2,2.4,1
78,13.7,4.5,2.1,4.1,50.3,0.0,0.1,40.0,0.4,0.6,60.9,0.2,0.7,0.9,0.9,0.2,0.0,0.4,1
49,9.3,2.9,1.2,2.8,44.5,0.1,0.4,18.2,0.3,0.5,61.5,0.1,0.6,0.7,3.0,0.2,0.0,0.7,1
55,7.6,2.7,1.2,2.6,44.8,0.0,0.1,0.0,0.3,0.5,64.3,0.2,0.6,0.9,0.8,0.3,0.1,0.6,1
82,26.8,10.3,3.8,8.5,44.8,0.2,0.5,31.7,2.5,3.2,79.2,1.9,2.5,4.5,2.1,0.8,0.8,1.6,1
76,26.6,9.9,4.2,9.3,45.2,0.3,1.2,22.2,1.2,1.7,72.3,0.7,0.9,1.6,3.6,1.1,0.1,2.1,1
77,25.6,13.4,5.8,10.0,57.9,0.0,0.1,25.0,1.8,2.9,62.4,2.0,3.1,5.2,1.7,1.2,0.8,2.3,1
73,23.4,10.4,4.5,10.6,42.8,0.1,0.4,34.5,1.2,1.7,69.6,1.0,1.6,2.7,2.1,0.7,0.3,1.9,1
80,20.2,5.1,2.0,4.4,46.2,0.0,0.0,0.0,1.0,1.4,69.0,1.5,2.7,4.1,1.0,0.4,0.6,1.7,1
82,19.4,9.3,3.4,7.0,48.7,0.0,0.1,12.5,2.4,3.0,81.0,0.4,1.1,1.5,2.6,0.6,0.0,1.9,0
51,11.3,2.8,1.1,2.5,42.2,0.0,0.2,20.0,0.7,1.0,64.2,0.7,1.4,2.1,0.5,0.5,0.2,0.7,0
75,18.9,4.9,1.9,4.0,47.9,0.0,0.1,0.0,1.1,1.5,69.9,0.9,2.0,2.9,3.4,1.6,0.1,1.3,1
77,15.9,6.2,2.7,5.6,47.6,0.0,0.1,25.0,0.8,1.1,73.5,1.2,2.1,3.3,0.8,0.3,0.3,1.1,0
52,10.1,3.2,1.5,3.5,42.0,0.0,0.0,0.0,0.3,0.5,57.1,0.8,1.7,2.5,0.3,0.1,0.6,0.4,0
44,7.9,3.3,1.3,3.1,41.5,0.0,0.1,0.0,0.8,1.2,66.0,0.3,0.5,0.9,0.8,0.5,0.1,0.9,0
54,6.8,1.5,0.7,1.7,40.4,0.0,0.0,0.0,0.1,0.3,31.3,0.8,1.1,1.9,0.2,0.1,0.3,0.4,1
36,5.1,2.2,0.8,1.8,45.3,0.0,0.0,0.0,0.6,1.3,44.4,0.9,1.2,2.1,0.2,0.1,0.1,1.0,1
82,37.5,21.6,7.8,15.6,49.6,0.1,0.3,22.7,6.0,7.6,79.7,2.7,2.7,5.4,3.3,1.1,0.2,3.4,1
72,33.8,17.0,6.3,14.8,42.4,0.2,0.8,28.8,4.2,6.0,70.4,0.8,2.1,2.9,7.8,2.1,0.2,4.2,1
79,25.7,10.7,4.3,10.3,41.4,0.2,1.0,21.5,1.9,2.6,75.0,0.4,1.4,1.9,4.8,1.0,0.1,2.0,1
80,21.3,9.6,3.9,8.2,47.7,0.0,0.1,0.0,1.8,2.7,68.4,2.0,3.2,5.1,1.8,0.7,0.2,1.3,1
64,17.7,4.6,1.8,3.6,51.8,0.0,0.0,0.0,0.9,1.8,50.4,1.8,3.6,5.4,0.9,0.9,1.2,1.2,1
64,16.1,7.0,2.8,6.1,46.5,0.3,0.9,30.5,1.0,1.6,65.7,0.4,1.0,1.4,2.3,0.8,0.1,1.4,0
71,16.0,6.9,2.9,6.3,46.4,0.0,0.2,0.0,1.1,1.5,72.0,1.0,1.8,2.7,1.2,0.5,0.4,1.0,0
75,15.8,7.3,2.7,5.3,51.3,0.0,0.0,0.0,1.9,2.7,69.9,1.1,1.9,3.0,1.1,0.3,0.3,1.4,1
80,14.8,6.6,2.8,5.5,52.1,0.0,0.0,0.0,0.9,1.5,64.1,1.2,2.0,3.2,1.0,0.5,0.9,1.3,1
24,9.3,2.3,0.8,2.4,31.6,0.3,1.0,28.0,0.5,0.6,73.3,0.1,0.5,0.6,1.4,0.4,0.0,0.8,0
72,11.9,2.9,1.2,2.3,50.9,0.0,0.0,0.0,0.5,1.2,45.9,1.0,1.5,2.5,0.6,0.3,0.7,0.7,0
46,10.7,2.9,1.1,1.8,58.3,0.0,0.0,50.0,0.7,0.9,82.5,0.6,0.7,1.3,0.8,0.4,0.1,0.8,0
39,9.0,4.9,2.1,4.4,46.5,0.0,0.1,0.0,0.8,1.4,58.5,0.9,0.4,1.3,0.4,0.5,0.1,0.9,1
39,8.5,3.5,1.4,2.6,52.4,0.0,0.0,0.0,0.7,1.2,60.4,0.8,0.9,1.7,0.3,0.3,0.1,0.7,0
42,8.1,3.4,1.3,2.9,45.8,0.0,0.0,0.0,0.8,1.2,65.4,0.5,1.0,1.5,0.2,0.2,0.1,0.4,0
82,21.8,10.5,4.2,8.6,49.1,0.0,0.1,0.0,2.0,2.5,80.7,2.1,2.3,4.4,1.6,0.7,0.3,1.5,1
76,20.8,6.6,2.6,6.4,40.7,0.1,0.2,23.5,1.4,1.8,79.7,0.3,1.3,1.6,3.3,1.2,0.1,2.2,1
81,19.7,7.9,2.9,6.3,46.0,0.0,0.1,0.0,2.2,3.0,72.9,1.4,2.2,3.6,1.4,0.6,0.3,1.8,0
56,18.9,4.7,2.1,4.6,45.0,0.0,0.0,0.0,0.5,0.7,67.5,1.1,3.8,4.9,0.7,0.6,0.8,1.1,1
28,8.1,1.7,0.6,1.4,42.5,0.3,0.8,30.4,0.2,0.3,85.7,0.3,1.1,1.5,0.4,0.2,0.1,0.5,0
60,15.8,8.7,3.2,6.0,52.9,0.0,0.1,0.0,2.4,3.6,67.0,1.5,2.9,4.4,0.7,0.6,1.4,1.7,1
68,14.4,5.3,1.9,3.5,54.2,0.0,0.0,0.0,1.5,2.5,59.4,1.6,3.0,4.5,0.6,0.1,1.1,1.0,1
54,12.4,5.6,2.1,4.6,46.2,0.1,0.2,30.0,1.3,1.8,73.7,0.6,0.6,1.2,1.0,0.4,0.0,0.9,1
40,11.5,1.8,0.8,2.5,32.7,0.0,0.0,0.0,0.1,0.2,55.6,0.2,0.7,0.9,1.4,0.5,0.1,0.9,0
55,10.7,4.3,1.8,4.0,45.7,0.0,0.0,0.0,0.6,1.1,60.3,1.1,1.4,2.5,0.5,0.3,0.1,1.1,0
52,10.2,4.2,1.8,3.9,45.4,0.0,0.0,0.0,0.6,1.2,51.6,1.0,2.0,3.0,0.5,0.4,0.4,0.6,1
31,6.4,2.3,0.7,2.0,35.5,0.3,1.0,29.0,0.6,0.8,75.0,0.4,0.8,1.2,0.3,0.1,0.1,0.2,0
61,28.8,14.7,5.5,13.4,41.2,1.0,3.3,31.0,2.6,3.5,74.6,0.4,2.1,2.4,3.0,1.0,0.3,2.0,1
76,26.0,8.2,3.4,7.4,46.1,0.4,1.5,27.4,1.0,1.7,57.0,1.6,2.8,4.4,0.7,1.2,0.8,0.9,1
78,17.3,5.0,1.8,4.7,38.4,0.8,2.5,32.8,0.6,0.9,64.4,0.4,1.9,2.4,1.2,0.8,0.2,0.6,1
